kemudahan_navigasi,atraktif_desain,mudah_digunakan,fitur_berfungsi,antarmuka_jelas_dan_menarik,mudah_dipelajari,efisien,akses_standar,mudah_diingat,keamanan,bantuan_dan_dukungan,kepuasan_dan_kesan
53.4375,8.38888889,28.66203704,53.4375,4.625,20.35185185,2.5,16,3.5,9,4,45.5
64,9.666666667,24.07407407,29.25,7.375,33.66666667,2.25,9,3.166666667,9,10.625,64
21.3125,5.222222223,18,45.5,7.375,10.81481482,2,6.5,3,2.5,3.125,17.5
36,3,18.51388889,45.5,5.75,5.5,3,12.5,3.5,10,10,45.5
5.6875,3.333333334,28.66203704,27,2.75,7.851851849,2.25,6.5,2.833333334,4,3.125,17.5
27,7.88888889,10.85185185,11.8125,4.125,5,1,9,2.5,12.5,4,27
27,6,14.49537037,34.9375,4.125,15,2.25,9,3,6.5,6.5,27
53.4375,9.833333334,38.125,64,10,34,4,16,4,16,16,64
45.5,7.055555554,40,64,9.25,20.01851851,1.75,12.5,3.5,16,5,45.5
34.9375,7.388888888,26.51851851,42.875,7.375,15,2.75,9,2.666666667,9,6.5,27
45.5,8.38888889,21.5,27,5.75,33.66666667,3,9,3,16,9,45.5
34.9375,6.166666667,37.55555555,45.5,6,15,3,9,3,9,9,27
27,4.222222221,18,27,3,15,2.5,9,2.666666667,4,9,27
34.9375,5.666666667,19.05555555,45.5,4.125,33.33333333,3.75,9,3.5,16,9,45.5
34.9375,3.333333334,17.51388889,11.8125,3,10.98148149,2,6.5,2.166666667,4,4,27
29.25,3.5,28.20370371,45.5,5.75,5.5,2,4,2.5,4,5.125,36
45.5,6.5,35.125,32.5,8.125,34,2.25,16,4,10,10,36
27,6,18,27,4.625,15,2.5,9,3,6.5,9,27
21.3125,6.888888888,11.36574074,21.3125,5.5,15,2.5,9,3,6.5,6.5,27
29.25,4.555555556,18.51388889,45.5,8.5,20.01851851,2.5,8.5,3.5,5,16,14
27,6,18.51388889,27,6,15,3,9,3,9,5,27
27,5.833333334,19.625,27,6,14.66666667,2.5,9,3,6.5,5.125,27
27,5.222222223,9.907407406,17.5,6,7.851851849,2.5,10,2.833333334,9,6.25,27
34.9375,9.333333334,14.49537037,34.9375,3,15.16666667,1.75,9,3.666666667,9,6.5,27
27,6.333333334,18,34.9375,4.375,15.16666667,2.25,9,3.166666667,9,5.125,27
34.9375,6,23.5324074,27,6.5,15.5,2.75,9,3.333333333,9,9,27
27,5.555555556,38.125,45.5,6.5,8.185185183,3,9,3.166666667,9,12.5,45.5
34.9375,6,18,27,6,15,3.5,12.5,3,9,9,27
53.4375,7.388888888,30.20370371,53.4375,9.5,14.83333333,2.5,9,3.166666667,9,9,27
27,6,19.05555555,21.3125,5.75,15,2.75,9,3,9,9,27
27,4.222222221,36.01388889,45.5,5.75,15.5,3.75,9,3,9,10.625,27
64,9.666666667,24.64351851,64,9.5,34,3.5,12.5,3.5,16,16,64
27,6,38.125,45.5,6.5,15.16666667,2.5,9,3,9,9,27
64,8.722222223,24.64351851,53.4375,6.5,33.83333333,4,16,3.666666667,16,16,64
27,4.88888889,9.907407406,27,5.75,15,2.5,9,2.833333334,9,6.5,17.5
