"","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"2",4,3.333333333,3.666666667,4,3,3.666666667,2.5,4,3.666666667,3,2,4
"4",4,3.333333333,3.333333333,3.5,2.5,3.333333333,2,3,3,3,3,4
"5",3,3.333333333,3,4,2.5,2.666666667,1.5,3,3.333333333,1,1.5,2
"6",4,2,3,4,2.5,3,4,4,4,4,4,4
"7",2,2.666666667,3.666666667,3,1.5,3,1.5,2,2.666666667,2,1.5,2
"8",3,2.333333333,2.333333333,2,2,2,1,3,2,4,2,3
"9",3,3,2.666666667,3.5,2,3,1.5,3,3,2,2,3
"10",3.5,3.666666667,4,4,4,4,4,4,4,4,4,4
"11",4,3,4,4,2.5,3,2,3,3,4,1,3
"12",3,3.666666667,3.333333333,3.5,2.5,3,2.5,3,2.666666667,3,2,3
"13",3,3.333333333,3,3,2.5,3.333333333,2.5,3,2,4,3,3
"17",3.5,3.333333333,4,4,3,3,3,3,3,3,3,3
"18",3,3,3,3,2,3,3,3,2.666666667,2,3,3
"19",3,2.333333333,3,3,2,2.666666667,3.5,3,3,4,3,3
"20",3.5,2.666666667,3,2.5,2,3,2,3,2.333333333,2,2,3
"22",3.5,3,3.666666667,4,2.5,3,2,2,3,2,2.5,4
"26",4,4,4,4,4,4,3,4,4,4,2,4
"28",3,3,3,3,3,3,2.5,3,3,2,3,3
"30",2.5,2.666666667,2.333333333,2.5,2,3,2.5,3,3,3,2,3
"31",2.5,2,3,3,1,3,2,1,3,1,4,1
"32",3,3,3,3,3,3,3,3,3,3,1,3
"34",3,2.666666667,3,3,3,2.333333333,2,3,3,2,2,3
"35",3,3.333333333,2.333333333,2,3,3,3,4,3,3,2.5,3
"36",3,2.666666667,2.666666667,3,2,3.333333333,1.5,3,3.333333333,3,2,3
"39",3,3.666666667,3,3.5,2.5,3.333333333,2.5,3,3.333333333,3,2,3
"40",3.5,3,3.333333333,3,4,4,2.5,3,3.333333333,3,3,3
"42",3,4,4,4,4,3.666666667,3,3,4,3,4,4
"43",3.5,3,3,3,3,3,4,4,3,3,3,3
"44",4,3.666666667,3.666666667,3.5,3,2.666666667,3,3,3.333333333,3,3,3
"45",3,3,3,2.5,2.5,3,2.5,3,3,3,3,3
"46",3,3,4,4,2.5,4,4,3,3,3,3.5,3
"51",4,3.333333333,3.333333333,4,3,4,3,3,3,4,4,4
"52",3,3,4,4,4,3.333333333,2,3,3,3,3,3
"58",4,4,3.333333333,3.5,4,3.666666667,4,4,3.666666667,4,4,4
"63",3,2.666666667,2.333333333,3,2.5,3,2.5,3,2.666666667,3,3,2
