"","X","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"2",2,64,3.333333333,49.2962963097407,64,3,3.666666667,2.5,16,3.666666667,9,4,64
"4",4,64,3.333333333,37.0370370259259,42.875,2.5,3.333333333,2,9,3,9,9,64
"5",5,27,3.333333333,27,64,2.5,2.666666667,1.5,9,3.333333333,1,2.25,8
"6",6,64,2,27,64,2.5,3,4,16,4,16,16,64
"7",7,8,2.666666667,49.2962963097407,27,1.5,3,1.5,4,2.666666667,4,2.25,8
"8",8,27,2.333333333,12.7037036982593,8,2,2,1,9,2,16,4,27
"9",9,27,3,18.9629629700741,42.875,2,3,1.5,9,3,4,4,27
"10",10,42.875,3.666666667,64,64,4,4,4,16,4,16,16,64
"11",11,64,3,64,64,2.5,3,2,9,3,16,1,27
"12",12,27,3.666666667,37.0370370259259,42.875,2.5,3,2.5,9,2.666666667,9,4,27
"13",13,27,3.333333333,27,27,2.5,3.333333333,2.5,9,2,16,9,27
"17",17,42.875,3.333333333,64,64,3,3,3,9,3,9,9,27
"18",18,27,3,27,27,2,3,3,9,2.666666667,4,9,27
"19",19,27,2.333333333,27,27,2,2.666666667,3.5,9,3,16,9,27
"20",20,42.875,2.666666667,27,15.625,2,3,2,9,2.333333333,4,4,27
"22",22,42.875,3,49.2962963097407,64,2.5,3,2,4,3,4,6.25,64
"26",26,64,4,64,64,4,4,3,16,4,16,4,64
"28",28,27,3,27,27,3,3,2.5,9,3,4,9,27
"30",30,15.625,2.666666667,12.7037036982593,15.625,2,3,2.5,9,3,9,4,27
"31",31,15.625,2,27,27,1,3,2,1,3,1,16,1
"32",32,27,3,27,27,3,3,3,9,3,9,1,27
"34",34,27,2.666666667,27,27,3,2.333333333,2,9,3,4,4,27
"35",35,27,3.333333333,12.7037036982593,8,3,3,3,16,3,9,6.25,27
"36",36,27,2.666666667,18.9629629700741,27,2,3.333333333,1.5,9,3.333333333,9,4,27
"39",39,27,3.666666667,27,42.875,2.5,3.333333333,2.5,9,3.333333333,9,4,27
"40",40,42.875,3,37.0370370259259,27,4,4,2.5,9,3.333333333,9,9,27
"42",42,27,4,64,64,4,3.666666667,3,9,4,9,16,64
"43",43,42.875,3,27,27,3,3,4,16,3,9,9,27
"44",44,64,3.666666667,49.2962963097407,42.875,3,2.666666667,3,9,3.333333333,9,9,27
"45",45,27,3,27,15.625,2.5,3,2.5,9,3,9,9,27
"46",46,27,3,64,64,2.5,4,4,9,3,9,12.25,27
"51",51,64,3.333333333,37.0370370259259,64,3,4,3,9,3,16,16,64
"52",52,27,3,64,64,4,3.333333333,2,9,3,9,9,27
"58",58,64,4,37.0370370259259,42.875,4,3.666666667,4,16,3.666666667,16,16,64
"63",63,27,2.666666667,12.7037036982593,27,2.5,3,2.5,9,2.666666667,9,9,8
