"","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"2",3.5,3.666666667,2.833333333,3.5,2.5,3.333333333,2.5,4,3.333333333,3,2,3
"4",4,4,3.333333333,2.5,3.5,4,2.5,3,3.333333333,3,3.5,4
"5",2.5,2.666666667,3,3,3.5,2.666666667,2.5,2,2.666666667,2,2,3
"6",2,2,3.166666667,3,3,2,2,3,3,2,2,3
"7",1.5,2,2.833333333,3,2,2.333333333,3,3,3,2,2,3
"8",3,3.666666667,3,2.5,2.5,2,1,3,3,3,2,3
"9",3,3,3.166666667,3,2.5,3,3,3,3,3,3,3
"10",4,4,3.5,4,4,4,4,4,4,4,4,4
"11",3,3.333333333,4,4,4,3.333333333,1.5,4,4,4,3,4
"12",3.5,3.333333333,4,3.5,3.5,3,3,3,2.666666667,3,3,3
"13",4,3.666666667,4,3,3,4,3.5,3,4,4,3,4
"17",3,3,3.333333333,3,3,3,3,3,3,3,3,3
"18",3,2.333333333,3,3,2,3,2,3,2.666666667,2,3,3
"19",3.5,3,3.333333333,4,2.5,4,4,3,4,4,3,4
"20",3,2,2.833333333,2,2,2.666666667,2,2,2,2,2,3
"22",2.5,2,2.666666667,3,3,2,2,2,2,2,2,2
"26",3,3,2.5,1,3.5,4,1.5,4,4,2,4,2
"28",3,3,3,3,2.5,3,2.5,3,3,3,3,3
"30",3,3.333333333,3.166666667,3,3,3,2.5,3,3,2,3,3
"31",3.5,2.666666667,3.166666667,4,4,3.333333333,3,4,4,3,4,3
"32",3,3,3.166666667,3,3,3,3,3,3,3,3,3
"34",3,3,3.5,3,3,3,3,3,3,3,2.5,3
"35",3,2.666666667,2.666666667,3,3,2.333333333,2,2,2.666666667,3,2.5,3
"36",3.5,4,3.166666667,3.5,2,3,2,3,4,3,3,3
"39",3,3,3,3,2.5,3,2,3,3,3,2.5,3
"40",3,3,3.166666667,3,3,3,3,3,3.333333333,3,3,3
"42",3,2.666666667,3.5,3,3,2.333333333,3,3,2.333333333,3,3,3
"43",3,3,3,3,3,3,3,3,3,3,3,3
"44",3.5,3.333333333,3.333333333,4,4,3,2,3,3,3,3,3
"45",3,3,3.333333333,3,3,3,3,3,3,3,3,3
"46",3,2.333333333,2.833333333,3,3,3,3.5,3,3,3,3,3
"51",4,4,3.5,4,4,4,4,4,4,4,4,4
"52",3,3,3.5,3,3,3,3,3,3,3,3,3
"58",4,3.666666667,3.5,4,3,4,4,4,3.666666667,4,4,4
"63",3,2.666666667,2.666666667,3,3,3,2.5,3,3,3,2,3
