"","X","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"2",2,42.875,13.4444444468889,8.02777777588889,42.875,6.25,37.0370370259259,2.5,16,3.333333333,9,4,27
"4",4,64,16,11.1111111088889,15.625,12.25,64,2.5,9,3.333333333,9,12.25,64
"5",5,15.625,7.11111111288889,9,27,12.25,18.9629629700741,2.5,4,2.666666667,4,4,27
"6",6,8,4,10.0277777798889,27,9,8,2,9,3,4,4,27
"7",7,3.375,4,8.02777777588889,27,4,12.7037036982593,3,9,3,4,4,27
"8",8,27,13.4444444468889,9,15.625,6.25,8,1,9,3,9,4,27
"9",9,27,9,10.0277777798889,27,6.25,27,3,9,3,9,9,27
"10",10,64,16,12.25,64,16,64,4,16,4,16,16,64
"11",11,27,11.1111111088889,16,64,16,37.0370370259259,1.5,16,4,16,9,64
"12",12,42.875,11.1111111088889,16,42.875,12.25,27,3,9,2.666666667,9,9,27
"13",13,64,13.4444444468889,16,27,9,64,3.5,9,4,16,9,64
"17",17,27,9,11.1111111088889,27,9,27,3,9,3,9,9,27
"18",18,27,5.44444444288889,9,27,4,27,2,9,2.666666667,4,9,27
"19",19,42.875,9,11.1111111088889,64,6.25,64,4,9,4,16,9,64
"20",20,27,4,8.02777777588889,8,4,18.9629629700741,2,4,2,4,4,27
"22",22,15.625,4,7.11111111288889,27,9,8,2,4,2,4,4,8
"26",26,27,9,6.25,1,12.25,64,1.5,16,4,4,16,8
"28",28,27,9,9,27,6.25,27,2.5,9,3,9,9,27
"30",30,27,11.1111111088889,10.0277777798889,27,9,27,2.5,9,3,4,9,27
"31",31,42.875,7.11111111288889,10.0277777798889,64,16,37.0370370259259,3,16,4,9,16,27
"32",32,27,9,10.0277777798889,27,9,27,3,9,3,9,9,27
"34",34,27,9,12.25,27,9,27,3,9,3,9,6.25,27
"35",35,27,7.11111111288889,7.11111111288889,27,9,12.7037036982593,2,4,2.666666667,9,6.25,27
"36",36,42.875,16,10.0277777798889,42.875,4,27,2,9,4,9,9,27
"39",39,27,9,9,27,6.25,27,2,9,3,9,6.25,27
"40",40,27,9,10.0277777798889,27,9,27,3,9,3.333333333,9,9,27
"42",42,27,7.11111111288889,12.25,27,9,12.7037036982593,3,9,2.333333333,9,9,27
"43",43,27,9,9,27,9,27,3,9,3,9,9,27
"44",44,42.875,11.1111111088889,11.1111111088889,64,16,27,2,9,3,9,9,27
"45",45,27,9,11.1111111088889,27,9,27,3,9,3,9,9,27
"46",46,27,5.44444444288889,8.02777777588889,27,9,27,3.5,9,3,9,9,27
"51",51,64,16,12.25,64,16,64,4,16,4,16,16,64
"52",52,27,9,12.25,27,9,27,3,9,3,9,9,27
"58",58,64,13.4444444468889,12.25,64,9,64,4,16,3.666666667,16,16,64
"63",63,27,7.11111111288889,7.11111111288889,27,9,27,2.5,9,3,9,4,27
