mahasiswa,karyawan
2.583333333,3.25
3.194444444,3.277777778
3.388888889,2.597222222
2.625,3.027777778
3.013888889,2.486111111
3.194444445,2.513888889
3.333333333,2.805555556
2.986111111,3.944444445
2.5,3.277777778
3.75,3.069444445
2.819444444,3.284722222
2.958333333,3.131944445
3.166666667,2.736111111
2.916666667,3.243055556
3.472222222,2.4375
3.958333333,2.597222222
3,3.3125
2.652777778,2.895833333
2.944444445,2.770833333
3.069444444,2.840277778
3.736111111,2.923611111
2.986111111,2.833333333
1.083333333,2.791666667
2.652777778,2.902777778
3.347222222,2.909722222
3.041666667,3.131944444
2.138888889,3.270833333
2.25,3.104166667
2.958333333,3.208333333
2.888888889,2.951388889
3.375,3.152777778
3.486111111,3.756944445
3.847222222,3.118055556
3,3.833333334
2.347222222,2.770833333
