kemudahan_navigasi,atraktif_desain,mudah_digunakan,fitur_berfungsi,antarmuka_jelas_dan_menarik,mudah_dipelajari,efisien,akses_standar,mudah_diingat,keamanan,bantuan_dan_dukungan,kepuasan_dan_kesan
11.8125,5.055555556,13.03703704,27,4.375,10.81481482,2,6.5,2.833333334,9,4,27
21.3125,6.722222221,19.625,27,6,33.66666667,2.25,6.5,3.166666667,4,12.5,45.5
64,9.666666667,24.07407407,29.25,7.375,33.66666667,2.25,9,3.166666667,9,10.625,64
21.3125,5.222222223,18,45.5,7.375,10.81481482,2,6.5,3,2.5,3.125,17.5
34.9375,4.88888889,16.20370371,27,6,26.48148149,2.5,9,3.666666667,4,5.125,27
64,3.666666667,38.72222222,64,6,34,2.5,9,3.833333334,4,12.5,45.5
29.25,5.38888889,39.34722222,53.4375,6.25,15.16666667,3.25,16,3.5,12.5,12.5,45.5
27,6,35.125,27,5.75,15,2.75,9,3.166666667,9,9,27
34.9375,4.88888889,7.125,21.3125,4.125,10.48148149,1.5,4,2.833333334,10,5.125,27
53.4375,8.222222223,30.20370371,34.9375,6,33.66666667,2.75,12.5,4,10,16,45.5
27,5.666666667,38.125,27,3,8.351851849,3,9,3.5,9,9,17.5
27,6.166666667,16.625,27,5.75,15,2.5,9,3,9,9,27
27,6.888888888,23.5324074,34.9375,5.75,15,2.5,9,3,6.5,6.5,45.5
21.3125,6.888888888,11.36574074,21.3125,5.5,15,2.5,9,3,6.5,6.5,27
29.25,4.555555556,18.51388889,45.5,8.5,20.01851851,2.5,8.5,3.5,5,16,14
53.4375,9.666666667,19.625,64,9.75,33.83333333,3.5,12.5,3.666666667,12.5,12.5,64
27,5.833333334,19.625,27,6,14.66666667,2.5,9,3,6.5,5.125,27
27,5.222222223,9.907407406,17.5,6,7.851851849,2.5,10,2.833333334,9,6.25,27
34.9375,4.055555555,18.51388889,64,6,11.14814815,2.5,9,2.833333334,9,14.125,36
27,7.222222221,9.907407406,27,6.25,20.01851851,3,9,3.166666667,9,5.125,45.5
64,10,31.37037038,53.4375,9.75,33.66666667,3.25,16,3.666666667,12.5,9,45.5
27,5.833333334,13.49537037,27,6,15,2.5,9,3,6.5,9,27
1,1.5,8.351851849,2.1875,2,1.666666667,2.25,2.5,1.5,5,3.625,1
21.3125,4.88888889,20.19907407,34.9375,3.875,10.64814815,2.5,9,2.333333334,6.5,4,27
45.5,8.722222223,36.01388889,64,10,26.64814815,3,16,3.5,12.5,12.5,45.5
27,6,38.125,45.5,6.5,15.16666667,2.5,9,3,9,9,27
21.3125,3.166666667,17.51388889,21.3125,1.5,7.851851849,1.5,6.5,2.333333334,6.5,9,8
21.3125,3.166666667,16.625,17.5,3.25,10.81481482,1.75,4,2.5,2.5,4,27
27,7.388888888,17.05555556,42.875,6,14.83333333,2,9,3.166666667,9,9,27
27,5.555555556,18,39.8125,5.75,15.16666667,2.25,9,3.166666667,9,9,27
42.875,8.222222223,37.01388889,29.25,5.75,26.48148149,3.25,12.5,2.5,12.5,12.25,64
34.9375,8.222222223,29.14814815,34.9375,9,20.18518518,3.25,9,3.333333333,16,12.5,64
53.4375,9.666666667,37.01388889,45.5,7.875,34,3.25,12.5,4,12.5,16,64
27,4.722222223,7.870370371,21.3125,5,15,2.5,9,3,6.5,6.5,17.5
25.4375,4.88888889,22.07407407,34.9375,4.125,14.83333333,1.75,6.5,2.5,4,6.25,17.5
