"","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"1",2,3,2.666666667,3,2.5,2.666666667,2,3,2.666666667,3,2,3
"3",2.5,2.333333333,3,3,3,3.333333333,2,2,2.333333333,2,4,3
"4",4,3.333333333,3.333333333,3.5,2.5,3.333333333,2,3,3,3,3,4
"5",3,3.333333333,3,4,2.5,2.666666667,1.5,3,3.333333333,1,1.5,2
"14",3,2.666666667,2.666666667,3,3,3.666666667,2.5,3,3.666666667,2,2,3
"15",4,3.333333333,4,4,3,4,3,3,4,2,4,3
"16",3.5,3.666666667,4,4,3.5,3.333333333,3,4,4,3,3,4
"21",3,3,4,3,2.5,3,2.5,3,3,3,3,3
"23",3.5,2.666666667,2,2.5,2,2,1.5,2,3,4,2,3
"24",3.5,3,3.666666667,3,3,3.333333333,2,3,4,2,4,3
"25",3,2.333333333,4,3,2,4,3,3,4,3,3,3
"27",3,3.333333333,3,3,2.5,3,2,3,3,3,3,3
"29",3,2.666666667,3.333333333,3,2.5,3,2,3,3,2,2,3
"30",2.5,2.666666667,2.333333333,2.5,2,3,2.5,3,3,3,2,3
"31",2.5,2,3,3,1,3,2,1,3,1,4,1
"33",3.5,3.333333333,3,4,3.5,3.666666667,3,3,3.333333333,3,3,4
"34",3,2.666666667,3,3,3,2.333333333,2,3,3,2,2,3
"35",3,3.333333333,2.333333333,2,3,3,3,4,3,3,2.5,3
"37",3.5,2.666666667,3,4,3,3.333333333,2.5,3,3,3,3.5,4
"38",3,3.333333333,2.333333333,3,3.5,3,3,3,3.333333333,3,2,3
"41",4,4,3.666666667,3.5,3.5,3.333333333,3,4,3.666666667,4,3,3
"47",3,2.666666667,2.666666667,3,3,3,2,3,3,2,3,3
"48",1,2,2.333333333,1.5,3,2.333333333,3.5,2,2,3,2.5,1
"49",3,2.666666667,3.333333333,3.5,1.5,2.333333333,2,3,2,2,2,3
"50",4,4,4,4,4,4,3,4,4,4,4,4
"52",3,3,4,4,4,3.333333333,2,3,3,3,3,3
"53",3,2.333333333,3,3,2,3,1.5,3,2.666666667,3,3,2
"54",2.5,2.333333333,3,3,2.5,2.666666667,2,2,2.666666667,1,2,3
"55",3,3.666666667,3,3.5,3,2.666666667,2,3,3.333333333,3,3,3
"56",3,4,4,4,2.5,3.333333333,2,3,3.333333333,3,3,3
"57",3.5,3,4,3.5,2.5,3.666666667,3,4,2,3,3.5,4
"59",3,3,3.666666667,3,2,3.333333333,4,3,3.333333333,4,3,4
"60",3.5,3.333333333,4,3,3.5,4,3,3,4,3,4,4
"61",3,2.333333333,1.666666667,2.5,1,3,2,3,3,2,2,2
"62",3.5,2.666666667,3.333333333,3.5,2,2.666666667,2,3,2.666666667,2,2.5,3
