"","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"1",2.5,2.666666667,2.666666667,3,2.5,2.666666667,2,2,3,3,2,3
"3",3,3.333333333,3.5,3,3,4,2.5,3,4,2,3,4
"4",4,4,3.333333333,2.5,3.5,4,2.5,3,3.333333333,3,3.5,4
"5",2.5,2.666666667,3,3,3.5,2.666666667,2.5,2,2.666666667,2,2,3
"14",3.5,2.666666667,3.666666667,3,3,3.666666667,2.5,3,3.666666667,2,2.5,3
"15",4,2,3.666666667,4,3,4,2,3,3.666666667,2,3,4
"16",2.5,2.666666667,3.833333333,3.5,3,3,3.5,4,3,4,4,3
"21",3,3,2.5,3,3,3,3,3,3.333333333,3,3,3
"23",3,2.666666667,2.5,3,2.5,2.666666667,1.5,2,2.666666667,2,2.5,3
"24",4,3.666666667,3.333333333,3.5,3,4,3.5,4,4,4,4,4
"25",3,3,3.5,3,2,2.333333333,3,3,3,3,3,2
"27",3,3,2.5,3,3,3,3,3,3,3,3,3
"29",3,3.333333333,3.166666667,3.5,3,3,3,3,3,3,3,4
"30",3,3.333333333,3.166666667,3,3,3,2.5,3,3,2,3,3
"31",3.5,2.666666667,3.166666667,4,4,3.333333333,3,4,4,3,4,3
"33",4,4,3.5,4,4,4,4,4,4,4,4,4
"34",3,3,3.5,3,3,3,3,3,3,3,2.5,3
"35",3,2.666666667,2.666666667,3,3,2.333333333,2,2,2.666666667,3,2.5,3
"37",3,2.333333333,3.166666667,4,3,2.666666667,2.5,3,2.666666667,3,4,2
"38",3,3.333333333,2.666666667,3,3,3.333333333,3,3,3,3,2.5,4
"41",4,4,3.666666667,4,4,4,3.5,4,3.666666667,3,3,4
"47",3,3,2.833333333,3,3,3,3,3,3,3,3,3
"48",1,1,2,1,1,1,1,1,1,1,1,1
"49",2.5,2.666666667,1.833333333,3,2.5,2.666666667,3,3,2.666666667,3,2,3
"50",3,3.666666667,2.833333333,4,4,3.666666667,3,4,3,3,3,3
"52",3,3,3.5,3,3,3,3,3,3,3,3,3
"53",2.5,2,2.833333333,2.5,1,2.333333333,1.5,2,2,2,3,2
"54",3,2,2.5,2,2,2.666666667,1.5,2,2.333333333,2,2,3
"55",3,3.333333333,2.666666667,3.5,3,3,2,3,3,3,3,3
"56",3,2.666666667,3,2.5,3,3,2.5,3,3,3,3,3
"57",3.5,3.666666667,3.166666667,2.5,3,3.666666667,3.5,3,3,4,3.5,4
"59",3.5,3.666666667,3,3.5,4,3.333333333,2.5,3,3.333333333,4,4,4
"60",4,4,3.166666667,4,3.5,4,3.5,4,4,4,4,4
"61",3,2.666666667,3.333333333,3,3,3,3,3,3,3,3,3
"62",2,2.666666667,2.666666667,3,2.5,3,1.5,2,2.333333333,2,2.5,2
